,Highest,Lowest,Highest_Val,Lowest_Val
CME,FDX,WRB,0.8271412438495476,-0.6083398395413812
CMG,MSFT,WRB,0.9441246353913526,-0.829686578204061
CMI,SPG,D,0.9032863696483381,-0.4876564029520578
CMS,AEE,BIIB,0.9377140914115605,-0.5465535441539107
CNC,CVS,GEHC,0.9234489726366034,-0.8651565016697558
CNP,AEE,BIIB,0.9462165072959166,-0.36277812974300505
COF,EXPE,GIS,0.8897869055518194,-0.5691518733306274
COO,V,CF,0.9414507809731313,-0.826521124800153
COP,EOG,WST,0.943733131597726,-0.6285639336197922
COST,NTAP,CPB,0.9032557226833107,-0.5716266464836877
CPB,CAG,TSLA,0.9025219955787381,-0.8200453851139216
CPRT,NVDA,AAP,0.9713497616529159,-0.8890243747904528
CPT,MAA,REGN,0.907179992819573,-0.7201489859322093
CRL,VTRS,GEHC,0.8450666474543792,-0.5451818913374135
CRM,META,WRB,0.9460602655581551,-0.8424513596183335
CSCO,ITW,AAP,0.9081118514512171,-0.7539967952532093
CSGP,MCK,PARA,0.8318549204188277,-0.5757752735128181
CSX,SPGI,DG,0.8903576806716621,-0.407893592847988
CTAS,ROP,AAP,0.9492273936821721,-0.8237234604300214
CTLT,EXR,BIIB,0.9043775403770921,-0.8462865409389051
CTRA,NRG,WYNN,0.8490916604517097,-0.6546978904517291
CTSH,SWK,NOC,0.8600662476053268,-0.5366944043458206
CTVA,BMY,META,0.8229899629486526,-0.7473982754261993
CVS,ENPH,LW,0.9288771375874328,-0.9285260651120291
CVX,APA,EW,0.8599676235882253,-0.6469021010314683
CZR,REG,DG,0.8750804031479283,-0.345009063848116
D,VFC,PCG,0.9277919380257119,-0.8959764118635871
DAL,CCL,DG,0.9307045444525428,-0.7475612401269524
DD,FCX,D,0.9469554540655076,-0.6980313407444544
DE,CMI,GNRC,0.89132289863335,-0.5175185277380355
DFS,ALK,DG,0.9022462363524602,-0.49026603539703467
DG,AAP,NVDA,0.9434027638810111,-0.9432252246438303
DGX,HON,GEHC,0.8386073632122711,-0.6507646061366523
DHI,LEN,AAP,0.9924653303869889,-0.8949498308766071
DHR,WRK,LW,0.8834346854637143,-0.7616147807582273
DIS,PARA,PCG,0.8421654463326838,-0.6833758982054938
DLR,WY,GIS,0.8783325149005555,-0.5716102828149696
DLTR,SYY,BBWI,0.5333738068387509,-0.13521250244523078
DOV,BWA,MOH,0.9152674988930011,-0.6878000330250715
DOW,LYB,MOH,0.9439164238536863,-0.6479198025456319
DPZ,PAYX,REGN,0.8826485317989571,-0.44741239489372786
DRI,NFLX,AAP,0.9511480986555544,-0.8868005499087426
DTE,LNT,BIIB,0.9589057663119712,-0.6984765405009955
DUK,AEP,GEHC,0.9595279662749004,-0.6397234802245259
DVA,TTWO,FMC,0.9026267447893016,-0.8038604786344018
DVN,CF,ANSS,0.8995251493622008,-0.8295480267754609
DXC,RJF,HSY,0.7811411866369266,-0.5335367267981634
DXCM,PCG,D,0.9211920864862393,-0.8681351137898158
EA,AKAM,MKTX,0.7335531598573142,-0.47281743307636936
EBAY,VTR,NOC,0.8721677625621339,-0.459358946800337
ECL,FLT,DG,0.9493589658451735,-0.7816146760433809
ED,AEE,COP,0.8674988374753035,-0.38853485734135
EFX,MCO,KDP,0.8952200606504115,-0.5854728336255504
EG,WYNN,BAX,0.9263691702959179,-0.8448578212717935
EIX,XRAY,DVN,0.8900314509170778,-0.6698788301046831
EL,PARA,LLY,0.8351571461081037,-0.7482003983664276
ELV,GD,META,0.8188200405483052,-0.692699207819318
EMN,O,REGN,0.8606684802664907,-0.3460270245822128
EMR,HON,GEHC,0.8889698053012014,-0.5292319106179786
ENPH,CVS,LW,0.9288771375874328,-0.8975278450812791
EOG,COP,EW,0.943733131597726,-0.5449451817996701
EPAM,SBAC,PCG,0.9422350431102346,-0.8788332488290717
EQIX,MCO,AAP,0.9581288632996827,-0.7441404063948792
EQR,ESS,REGN,0.9719173977987766,-0.6728962973419975
EQT,HAS,MKTX,0.8291047997296537,-0.8063932099426272
ES,AEP,RCL,0.9607865847023751,-0.6802400330893688
ESS,EQR,BIIB,0.9719173977987766,-0.6999424260326355
ETN,IR,AAP,0.9706223571980782,-0.8686860321007377
ETR,AEP,RCL,0.9258387400263226,-0.5664982634501505
ETSY,A,TTWO,0.8878170495654142,-0.6998503782798423
EVRG,LNT,BIIB,0.9297177251869634,-0.6350121249579338
EW,AMZN,GL,0.8704531361163514,-0.6672644752593316
EXC,NI,COP,0.9306762610052829,-0.4374230358264609
EXPD,ROP,AAP,0.9473950557186532,-0.7086533749026374
EXPE,COF,GIS,0.8897869055518194,-0.5888458302807921
EXR,CTLT,PCG,0.9043775403770921,-0.8172878652237804
F,NTAP,CPB,0.8488108932576564,-0.5718919816329322
FANG,EOG,SO,0.8576619364348119,-0.5151641624595296
FAST,LRCX,DG,0.9274304443880959,-0.7545212456964216
FCX,DD,BAX,0.9469554540655076,-0.6738131234665251
FDS,ADP,LW,0.7483624078666519,-0.45506603078667596
FDX,CHD,DG,0.9231101205105842,-0.7443138792760816
FE,PPL,GEHC,0.860967667415391,-0.5170290197264699
FFIV,PAYX,REGN,0.8614549118546868,-0.5951813647665497
FI,TDG,DG,0.9574371768400485,-0.8033828548340719
FICO,DHI,AAP,0.962579205309897,-0.8670000409934837
FIS,VFC,FSLR,0.9089121751411718,-0.8549377456983283
FITB,TFC,HSY,0.9721710070029326,-0.8084687727624852
FLT,ECL,DG,0.9493589658451735,-0.7580917346415251
FMC,INCY,AMZN,0.8808043274329985,-0.8255896384704122
FOX,FOXA,NOC,0.9888847246489936,-0.49858566601027055
FOXA,FOX,NOC,0.9888847246489936,-0.5274196326366976
FRT,REG,GEHC,0.8951392799670489,-0.40460859967947943
FSLR,AXON,LNC,0.8977006904520448,-0.8856211089814691
FTNT,NVDA,DG,0.9410296161895605,-0.8761439669052402
FTV,CARR,DG,0.9553946787653886,-0.6834125099787365
GD,LDOS,CMG,0.9303205376150374,-0.7581174240435906
GE,NVR,CVS,0.9809208614637754,-0.9069311814315199
